cow_id,date,cbt_mean,thi_mean,milk_yield_kg,activity,behavior_mode,health_status
T01,2024-07-20,39.08,71.9,42.6,8796,standing,healthy
T01,2024-07-21,39.04,72.0,27.3,7626,standing,healthy
T01,2024-07-22,39.05,72.0,33.2,7321,standing,healthy
T01,2024-07-23,39.05,72.1,26.5,10146,standing,healthy
T01,2024-07-24,39.08,71.9,39.6,9675,standing,healthy
T01,2024-07-25,39.1,72.0,38.2,6524,standing,healthy
T01,2024-07-26,39.06,72.3,34.8,9938,standing,healthy
T01,2024-07-27,39.06,71.8,30.9,7464,standing,healthy
T01,2024-07-28,39.07,72.1,32.4,8170,standing,healthy
T01,2024-07-29,39.07,71.6,43.9,8665,standing,healthy
T01,2024-07-30,39.07,71.9,36.3,8773,standing,healthy
T01,2024-07-31,39.05,71.7,41.4,10357,standing,healthy
T01,2024-08-01,39.06,72.1,42.9,6463,standing,healthy
T01,2024-08-02,39.03,72.3,38.1,9618,standing,healthy
T02,2024-07-20,39.07,72.0,31.7,8023,standing,healthy
T02,2024-07-21,39.05,72.0,36.6,9006,standing,healthy
T02,2024-07-22,39.06,71.8,31.2,7612,standing,healthy
T02,2024-07-23,39.06,71.9,38.0,6463,standing,healthy
T02,2024-07-24,39.07,72.2,37.2,5282,standing,healthy
T02,2024-07-25,39.05,71.6,31.0,9086,standing,healthy
T02,2024-07-26,39.04,72.2,32.7,11986,standing,healthy
T02,2024-07-27,39.05,71.8,29.8,6072,standing,healthy
T02,2024-07-28,39.05,72.0,27.4,6217,standing,healthy
T02,2024-07-29,39.06,71.8,35.6,8620,standing,healthy
T02,2024-07-30,39.05,72.3,36.2,6912,standing,healthy
T02,2024-07-31,39.06,71.9,32.9,7152,standing,healthy
T02,2024-08-01,39.08,72.1,45.0,6187,standing,healthy
T02,2024-08-02,39.07,72.4,24.9,5764,standing,at_risk
T03,2024-07-20,39.06,71.9,32.4,8437,standing,healthy
T03,2024-07-21,39.06,72.0,38.7,10787,standing,healthy
T03,2024-07-22,39.06,71.9,38.1,8386,standing,healthy
T03,2024-07-23,39.04,72.0,38.3,6008,standing,healthy
T03,2024-07-24,39.06,72.4,33.1,7933,standing,healthy
T03,2024-07-25,39.05,72.0,33.2,6029,standing,healthy
T03,2024-07-26,39.07,72.1,38.9,7313,standing,healthy
T03,2024-07-27,39.07,72.0,26.4,8256,standing,healthy
T03,2024-07-28,39.07,71.9,32.9,7542,standing,healthy
T03,2024-07-29,39.06,71.9,31.1,9895,standing,healthy
T03,2024-07-30,39.06,72.0,33.8,8111,standing,healthy
T03,2024-07-31,39.07,71.9,33.9,8640,standing,healthy
T03,2024-08-01,39.05,71.9,26.1,10395,standing,healthy
T03,2024-08-02,39.05,72.0,31.2,6907,standing,healthy
T04,2024-07-20,39.06,71.8,31.2,8440,standing,healthy
T04,2024-07-21,39.07,71.9,31.5,6640,standing,healthy
T04,2024-07-22,39.08,72.2,29.6,8168,standing,healthy
T04,2024-07-23,39.06,72.3,34.0,6300,standing,healthy
T04,2024-07-24,39.05,72.1,29.6,6880,standing,healthy
T04,2024-07-25,39.08,71.9,34.7,6791,standing,healthy
T04,2024-07-26,39.04,72.1,36.5,6255,standing,healthy
T04,2024-07-27,39.06,71.8,19.7,9211,standing,at_risk
T04,2024-07-28,39.05,71.8,40.7,11540,standing,healthy
T04,2024-07-29,39.05,72.2,28.2,8886,standing,healthy
T04,2024-07-30,39.08,71.9,35.0,9710,standing,healthy
T04,2024-07-31,39.05,72.2,36.7,6488,standing,healthy
T04,2024-08-01,39.07,72.3,42.9,7263,standing,healthy
T04,2024-08-02,39.05,72.1,39.0,8060,standing,healthy
T05,2024-07-20,39.06,71.8,36.2,6037,standing,healthy
T05,2024-07-21,39.05,71.9,31.8,8763,standing,healthy
T05,2024-07-22,39.06,72.6,27.3,7819,standing,healthy
T05,2024-07-23,39.07,72.1,43.4,4732,standing,healthy
T05,2024-07-24,39.07,72.0,38.4,5463,standing,healthy
T05,2024-07-25,39.07,72.2,33.8,10691,standing,healthy
T05,2024-07-26,39.06,71.8,40.1,6353,standing,healthy
T05,2024-07-27,39.06,72.0,32.5,10357,standing,healthy
T05,2024-07-28,39.06,72.3,35.1,11085,standing,healthy
T05,2024-07-29,39.08,72.0,38.6,7965,standing,healthy
T05,2024-07-30,39.06,72.1,25.6,8922,standing,healthy
T05,2024-07-31,39.07,71.8,29.8,8601,standing,healthy
T05,2024-08-01,39.05,71.9,38.4,8745,standing,healthy
T05,2024-08-02,39.06,71.9,26.2,10237,standing,healthy
